"Cif (S)","Ventas (N)","Año ventas (S)","Capital social (N)","Cargo principal (S)","Cnae (S)","Domicilio social (S)","Email (S)","Empleados (N)","Fax (S)","Fecha fundacion (S)","Fecha ult. balance (S)","Forma juridica (S)","Localidad (S)","Nombre (S)","Nombre comercial (S)","Situacion (S)","Telefono (S)","Web (S)","tipo (S)"
"B22009377","5767843.56","2018","45676","CERVERA TOMAS, OLGA","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CARRETERA FRAELLA, S/N","administracion@hormigonesgranen.es","52","[974390234]","1979-12-11","2018-12-31","SOCIEDAD LIMITADA","22260 GRAÑEN (Huesca)","HORMIGONES GRAÑEN SOCIEDAD LIMITADA","Desconocido","Activa","[974390422]","['www.hormigonesgranen.es']","mediana"
"B22131023","6496092.24","2018","3005.06","SORIANO TERUEL, ENCARNACION","4121 - Construcción de edificios residenciales","CALLE DEL MAESTRO TURINA, 1","casamar@casamarcinca.com","24","Desconocido","1991-01-23","2018-12-31","SOCIEDAD LIMITADA","22520 FRAGA (Huesca)","CASAMAR CINCA SL","Desconocido","Activa","[974453694]","['www.casamarcinca.com']","pequeña"
"B22394050","4224793.41","2018","50000","BLASCO ALEGRE, ABEL ALVARO","4211 - Construcción de carreteras y autopistas","CALLE JAIME I, 18","info@blasdo.com","87","Desconocido","2014-09-04","2018-12-31","SOCIEDAD LIMITADA","22520 FRAGA (Huesca)","BLASDO INFRAESTRUCTURAS SOCIEDAD LIMITADA.","Desconocido","Activa","[974474608, 933789897]","['www.blasdo.com']","mediana"
"B23311525","805007.62","2018","132222.66","SORIANO MUNUERA, MARIANO","4121 - Construcción de edificios residenciales","CALLE MARIANO SANJUAN, 44","emiliosorianogarrido@gmail.com;deosoriano@hotmail.com","11","[953401365]","1994-03-28","2018-12-31","SOCIEDAD LIMITADA","23250 SANTISTEBAN DEL PUERTO (Jaén)","HIJOS DE MARIANO SORIANO EMPRESA CONSTRUCTORA SL","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B23371354","11010746.75","2018","62505.26","TORRES SERRANO, RAFAEL","4121 - Construcción de edificios residenciales","CALLE REINA SOFIA, 47 - BJ 2","informacion@aridosmengibar.com","46","[953373161]","1997-06-27","2018-12-31","SOCIEDAD LIMITADA","23620 MENGIBAR (Jaén)","ARIDOS MENGIBAR SL","Desconocido","Activa","[953371464]","['www.aridosmengibar.com']","mediana"
"B23663958","3590143.61","2018","303350","MARTINEZ CHECA, NICOLAS BALDOMERO","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE EL CASTAÑAL, 6 - BJ","administracion@geocaminos.es","15","Desconocido","2010-05-14","2018-12-31","SOCIEDAD LIMITADA","18008 GRANADA (Granada)","GEOCAMINOS SL","Desconocido","Activa","[958262472]","['www.geocaminos.es']","pequeña"
"B24554321","15872020.56","2018","150000","VALLEJO FERNANDEZ, JUAN MARIA","4121 - Construcción de edificios residenciales","AVENIDA SUERO DE QUIÑONES, 7 - PRINC","geoxa@geoxa.es","34","[987258868]","2007-02-28","2018-12-31","SOCIEDAD LIMITADA","24002 LEON (León)","GEOXA, GENERAL DE CONSTRUCCIONES, SOCIEDAD LIMITADA","Desconocido","Activa","[987840288]","['www.geoxa.es']","mediana"
"B25250598","4968905.13","2018","147245","BELL LLOCH PEDROL, LOURDES","4399 - Otras actividades de construcción especializada n.c.o.p.","CALLE JAUME II, 9 - BIS ALTILLO 1","info@b-biosca.cat","50","[973206200]","1991-01-29","2018-12-31","SOCIEDAD LIMITADA","25001 LLEIDA (Lérida)","B BIOSCA SL","Desconocido","Activa","[973200196]","Desconocido","mediana"
"B25511601","4499792.63","2018","43006","EZQUER CARDONA, EDUARD","7490 - Otras actividades profesionales, científicas y técnicas n.c.o.p.","CALLE LLORENÇ AGUSTI CLAVERIA, 105","info@previntegral.com","63","[973184129]","2002-10-21","2018-12-31","SOCIEDAD LIMITADA","25190 LLEIDA (Lérida)","PREVINTEGRAL SL","Desconocido","Activa","[902101151, 973184128]","['www.previntegral.com']","mediana"
"B25795436","2648156.06","2018","27000","BLASCO ALEGRE, ISAAC","4110 - Promoción inmobiliaria","PASEO GRAN PASSEIG RONDA, 97 - BJ","lolamartinez@arponblasco.com","75","Desconocido","2015-04-23","2018-12-31","SOCIEDAD LIMITADA","25006 LLEIDA (Lérida)","ARPON BLASCO CONSTRUCCIONES SL.","Desconocido","Activa","[973221779]","Desconocido","mediana"
"B26229195","10990840.8","2018","114190","OCHAGAVIA GARCIA, VIRGILIO","1084 - Elaboración de especias, salsas y condimentos","AVENIDA CAMEROS, PARC. 70","salsarica@fer.es","17","[941437424]","1995-05-23","2018-12-31","SOCIEDAD LIMITADA","26150 AGONCILLO (La Rioja)","SALSA RICA SL","Desconocido","Activa","[941437197]","['www.salsaricaweb.es']","pequeña"
"B27019157","112035301.68","2018","715614","SANCHO ROF, JESUS","4321 - Instalaciones eléctricas","CALLE PEÑA DEL YELMO, 4","madrid@liteyca.es","1084","[915933942]","1983-11-10","2018-12-31","SOCIEDAD LIMITADA","28023 MADRID (Madrid)","LITEYCA SL","['LITEYCA']","Activa","[913574000, 913573072, 917401780, 915940940]","['www.liteyca.es']","grande"
"B27833979","11378606.37","2018","510043","IZQUIERDO MARTINEZ, FRANCISCO GUSTAVO","4122 - Construcción de edificios no residenciales","CAMINO TOUTIZO, 22","nuria.poza@izcon.es","23","Desconocido","2016-06-30","2018-12-31","SOCIEDAD LIMITADA","36214 VIGO (Pontevedra)","IZCON MODEL SLU","Desconocido","Activa","[986124540]","['www.izcon.es']","pequeña"
"B28063139","683599.03","2018","1887446.51","MONTERO SANCHEZ, ROCIO","5610 - Restaurantes y puestos de comidas","CALLE FUENCARRAL, 95 - B","Desconocido","12","[915234839]","1953-07-20","2018-12-31","SOCIEDAD LIMITADA","28004 MADRID (Madrid)","EMPRESAS MENGUEZ SL","Desconocido","Activa","[914488057, 915324473]","Desconocido","pequeña"
"B29516010","16389084.89","2018","216846.32","VERA DOBLAS, PEDRO","4312 - Preparación de terrenos","CALLE JUAN VERA CAMPOS, 4","info@verosa.es","180","[952070177]","1982-01-01","2018-12-31","SOCIEDAD LIMITADA","29566 CASARABONELA (Málaga)","VEROSA PROYECTOS Y SERVICIOS SL.","Desconocido","Activa","[952640622, 952456884]","['www.verosa.es']","mediana"
"B29882818","8688112.99","2014","40989.03","GUERRERO RUIZ, OSCAR","4121 - Construcción de edificios residenciales","CALLE LAURIA, 19 - BAJO 4","aespinosa@rugue.es","70","Desconocido","1998-01-29","2014-12-31","SOCIEDAD LIMITADA","29400 RONDA (Málaga)","PROMOCIONES Y CONSTRUCCIONES CRISTOBAL GUERRERO SL","Desconocido","Cierre de hoja registral","[952191062, 952870760]","['www.rugue.es', 'www.cristobalguerrero.com']","mediana"
"B31084544","9059790.05","2018","360600","CORTES CASTILLO, JOSE RAMON","4121 - Construcción de edificios residenciales","CALLE RAMON Y CAJAL, 5","info@garnicaycortes.com","18","[948540600]","1979-12-20","2018-12-31","SOCIEDAD LIMITADA","31260 LERIN (Navarra)","CONSTRUCCIONES GARNICA Y CORTES SL","Desconocido","Activa","[948530083]","['www.garnicaycortes.com']","mediana"
"B32278533","5773586.74","2018","54250","RODRIGUEZ VIDE, FELIPE","4121 - Construcción de edificios residenciales","AVENIDA DE CELANOVA, 68 - BAJO","hervi@coarvi.com","38","Desconocido","2001-03-16","2018-12-31","SOCIEDAD LIMITADA","32890 BARBADAS (Orense)","CONSTRUCCIONES VIDE ARIAS SL","['COARVI']","Activa","[988255147]","['www.coarvi.com']","mediana"
"B34262543","3910435.36","2018","3000","RODRIGUEZ JIMENEZ, RAMON JESUS","4121 - Construcción de edificios residenciales","AVENIDA MADRID, 14 - BIS BJ LOC 3","info@lagucyl.com","14","Desconocido","2013-04-26","2018-12-31","SOCIEDAD LIMITADA","47140 LAGUNA DE DUERO (Valladolid)","LAGUCYL SL.","Desconocido","Activa","[983540104, 983321386]","Desconocido","pequeña"
"B35228733","5529785.28","2018","10440","HERNANDEZ GONZALEZ, FRANCISCO","4321 - Instalaciones eléctricas","CALLE SIMON BOLIVAR, 4","insmoelca@insmoelca.com","45","[928570531]","1989-12-16","2018-12-31","SOCIEDAD LIMITADA","35214 TELDE (Palmas (Las))","INSMOELCA INSTALACIONES Y MONTAJES ELECTRICOS CANARIOS SL","Desconocido","Activa","[928570065, 928570245, 928504057]","['www.insmoelca.com']","mediana"
"B35263136","2036741.36","2018","30050","MARRERO GUTIERREZ MONTSERRAT, MARIA ROSARIO","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE CARVAJAL, 2 - 10 B","ringcanarias@ringcanarias.es","23","[928244131]","1991-01-28","2018-12-31","SOCIEDAD LIMITADA","35004 LAS PALMAS DE GRAN CANARIA (Palmas (Las))","RING CANARIAS SL","Desconocido","Activa","[928293157]","['www.ringcanarias.es']","pequeña"
"B35348952","8882657.23","2017","30000","NUEZ QUINTANA, JUSTO SANTIAGO","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE MARIO CESAR, 17 - LOC 1","iprocel@iprocel.com","70","Desconocido","1993-12-22","2017-12-31","SOCIEDAD LIMITADA","35010 LAS PALMAS DE GRAN CANARIA (Palmas (Las))","INGENIERIA DE PROTECCIONES Y CONTROL ELECTRICO SL","Desconocido","Activa","[928472541]","['www.iprocel.com']","mediana"
"B35543958","13864019.62","2015","500000","QUINTANA GONZALEZ, SANTIAGO","4121 - Construcción de edificios residenciales","URBANIZACION DIAZ CASANOVA, 1","admon@construplan.es","33","[928482955]","1999-01-01","2015-12-31","SOCIEDAD LIMITADA","35010 LAS PALMAS DE GRAN CANARIA (Palmas (Las))","CONSTRUPLAN CONSTRUCCIONES Y PLANIFICACION SL","Desconocido","Activa","[928493030]","['www.construplan.es']","mediana"
"B35601160","7224439.25","2018","178006","CABRERA DIAZ, OSCAR OCTAVIO","4941 - Transporte de mercancías por carretera","CARRETERA CIRCUNVALACION, 3","info@grupotiagua.com","40","Desconocido","2000-02-25","2018-12-31","SOCIEDAD LIMITADA","35500 ARRECIFE (Palmas (Las))","TRANSPORTE Y EXCAVACIONES TIAGUA SOCIEDAD LIMITADA","Desconocido","Activa","[928821360]","['www.grupotiagua.com']","pequeña"
"B35839034","5346567.43","2018","4510","SANCHEZ MENDOZA, JOSE ANTONIO","4211 - Construcción de carreteras y autopistas","CALLE LOMO LA PLANA, 30 - LOC 4 PLT BJ","kisolservicios@hotmail.es","32","[928637579]","2005-02-03","2018-12-31","SOCIEDAD LIMITADA","35019 LAS PALMAS DE GRAN CANARIA (Palmas (Las))","CONSTRUCCIONES Y PROMOCIONES KISOL SL","Desconocido","Activa","[928637579]","Desconocido","pequeña"
"B36037877","8147430.19","2018","126252","GRUPO HEDOMIN S L","4321 - Instalaciones eléctricas","LUGAR AIOS, 83","inelsa@inelsa.com","76","[986724379]","1986-04-30","2018-12-31","SOCIEDAD LIMITADA","36990 SANXENXO (Pontevedra)","INSTALACIONES ELECTRICAS DE SANXENXO SL","Desconocido","Activa","[986727024]","['www.inelsa.com']","mediana"
"B36401131","2688998.95","2018","3005.06","PIÑEIRO ALVAREZ, SANDRA","4121 - Construcción de edificios residenciales","LUGAR VACARIA, 47 - PARROQUIA DE BUDINO","administracion@eurodetalles.com","45","Desconocido","2002-01-15","2018-12-31","SOCIEDAD LIMITADA","36475 O PORRIÑO (Pontevedra)","EURO DETALLES SL","Desconocido","Activa","[986346526]","Desconocido","pequeña"
"B36844991","17186095.93","2018","3005.06","BODEGA PEREZ, MANUEL","4121 - Construcción de edificios residenciales","CALLE DO LABREGO, 4 - NAV 1 A","bmc@bmcec.com","28","[986446490]","1998-09-25","2018-12-31","SOCIEDAD LIMITADA","36350 NIGRAN (Pontevedra)","BMC CONSTRUCTION, ESTUDIO & CONTRACT, SOCIEDAD LIMITADA.","Desconocido","Activa","[986443504]","['www.bmcec.com']","pequeña"
"B36927515","532132.39","2018","6030","RIAL BARES, ADRIAN","8299 - Otras actividades de apoyo a las empresas n.c.o.p.","CALLE PRINCIPE, 30 - PISO 3","Desconocido","13","Desconocido","2003-10-24","2018-12-31","SOCIEDAD LIMITADA","36202 VIGO (Pontevedra)","INOVALABS DIGITAL SL.","Desconocido","Activa","[986227135]","['www.inovalabs.es']","pequeña"
"B37380722","5871686.9","2018","222374.44","PENA GARRIDO, MARCO ANTONIO","4321 - Instalaciones eléctricas","CALLE PERU, 11 - PG. IND. VILLARES DE LA REINA","tecinsa@tecinsa.net","52","[923204302]","2001-04-16","2018-12-31","SOCIEDAD LIMITADA","37184 VILLARES DE LA REINA (Salamanca)","TECNICAS E INSTALACIONES ELECTRICAS SALAMANCA SL","['TEINSA TECNICAS E INSTALACIONES ELECTRICAS SALAMANCA S.L.']","Activa","[923204331]","['www.tecinsa.net']","pequeña"
"B37508900","49106","2018","14004000","NORRIS ANDREW, MICHAEL","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","AVENIDA CARLOS III EL NOBLE, 13 - PISO 1 B","info@geoalcali.com","42","[948050578]","2011-07-14","2018-12-31","SOCIEDAD LIMITADA","31002 PAMPLONA/IRUÑA (Navarra)","GEOALCALI SL","Desconocido","Activa","[948050577]","['www.geoalcali.com']","pequeña"
"B37511375","6178175.09","2018","373010","CRIADO BUENO, GERARDO VICENTE","4211 - Construcción de carreteras y autopistas","PLAZA CARLOS TRIAS BERTRAN, 4 - PISO 2 IBERCENTER CENT","Desconocido","22","Desconocido","2011-11-02","2018-12-31","SOCIEDAD LIMITADA","28020 MADRID (Madrid)","HISPANICA DE VIALES 2011 SL.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B38287470","5036864.75","2018","2002051.2","RODRIGUEZ SANTOS, VICTOR MANUEL","4121 - Construcción de edificios residenciales","CARRETERA CAMPO DE GOLF, KM 34","administracion@grupo-s21.com","56","Desconocido","1992-02-10","2018-12-31","SOCIEDAD LIMITADA","38330 SAN CRISTOBAL DE LA LAGUNA (Tenerife)","VICTOR RODRIGUEZ E HIJOS SLU.","Desconocido","Activa","[922540007]","['www.vrconstrucciones.es']","mediana"
"B38947032","4092181.48","2018","11160","POMET SAGRISTA, ANTONIO","4121 - Construcción de edificios residenciales","AVENIDA JUAN CARLOS I, 33 - BL 4. PISO 4 C","Desconocido","95","Desconocido","2008-04-07","2018-12-31","SOCIEDAD LIMITADA","38640 ARONA (Tenerife)","CONSTRUCCIONES Y PROYECTOS MACSA SL","Desconocido","Activa","Desconocido","Desconocido","mediana"
"B39377197","4459771.67","2018","3005.06","PEREZ CUARTAS, JUAN ANTONIO","4399 - Otras actividades de construcción especializada n.c.o.p.","URBANIZACION EL PARQUE, 4 - BAJO A","comercial@pecusa.es","80","[942580030]","1995-05-16","2018-12-31","SOCIEDAD LIMITADA","39100 SANTA CRUZ DE BEZANA (Cantabria)","ESTRUCTURAS Y ENCOFRADOS PECUSA SL","Desconocido","Activa","[942580030]","['www.pecusa.es']","mediana"
"B39473087","1258562.26","2018","3010","LOPEZ LIAÑO, ANGEL","1623 - Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción","POLIGONO INDUSTRIAL, 29 - PAR","info@lopezpanel.com","4","[942832616]","2000-01-01","2018-12-31","SOCIEDAD LIMITADA","39408 LOS CORRALES DE BUELNA (Cantabria)","LOPEZ PANEL SOCIEDAD LIMITADA.","Desconocido","Activa","[942832662]","['www.lopezpanel.com']","mediana"
"B43906205","3551811.21","2018","3010","GAMEZ DE LA TORRE, BERNARDO","4399 - Otras actividades de construcción especializada n.c.o.p.","AVENIDA PAISOS CATALANS, 20 - BJ LOC 2","obrasyserviciosrte@gmail.com","107","Desconocido","2007-03-20","2018-12-31","SOCIEDAD LIMITADA","43007 TARRAGONA (Tarragona)","REVESTIMIENTOS TUNELES Y ENCOFRADOS SL","Desconocido","Activa","Desconocido","Desconocido","mediana"
"B43907005","8838799.87","2018","6000","PEREZ TAIMIL, JOSE","4121 - Construcción de edificios residenciales","CALLE AUBAREDA, 14","construccionesjoseisa@gmail.com","162","Desconocido","2007-05-14","2018-12-31","SOCIEDAD LIMITADA","43393 ALMOSTER (Tarragona)","CONSTRUCCIONES JOSEISA SL","Desconocido","Activa","Desconocido","Desconocido","mediana"
"B45567187","110296.48","2018","18006","GARCIA RIVERA, DAVID","4941 - Transporte de mercancías por carretera","CARRETERA VILLAFRANCA","gestionempresarialrg@gmail.com","1","Desconocido","2004-06-29","2018-12-31","SOCIEDAD LIMITADA","49800 TORO (Zamora)","ARCENADORAS ARMETRANS SL.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B45787694","726797.41","2018","3010","VELASCO GALLEGO, CARLOS","4121 - Construcción de edificios residenciales","CALLE RIO GUADIANA, 10","joyca2012@gmail.com","22","Desconocido","2012-10-19","2018-12-31","SOCIEDAD LIMITADA","45730 VILLAFRANCA DE LOS CABALLEROS (Toledo)","JOYCA 2012 SL.","Desconocido","Activa","[926578381]","Desconocido","pequeña"
"B46397659","2462126.63","2018","6010","CATALA NAVARRO, ALAIN","4121 - Construcción de edificios residenciales","CALLE BUFILLA, 4","facturacion@construccioneshermanoscatala.es","35","Desconocido","1987-06-08","2018-12-31","SOCIEDAD LIMITADA","46117 BETERA (Valencia)","CONSTRUCCIONES HERMANOS CATALA SL","Desconocido","Activa","[961600489]","['www.construccioneshermanoscatala.es']","pequeña"
"B47353248","5190716","2018","250016.06","BETWEEN SEAGULLS AND DOLPHINS S.L","0240 - Servicios de apoyo a la silvicultura","CALLE LUIS DE MERCADO, PARC. 17 - 18","ecoespacio@ecoespacio.es","100","[983548868]","1995-01-27","2018-12-31","SOCIEDAD LIMITADA","47151 BOECILLO (Valladolid)","ECOLOGIA Y ESPACIO SL","Desconocido","Activa","[983548069]","['www.ecoespacio.es']","pequeña"
"B47436290","4038922.89","2018","61880.02","VEGA GORDALIZA, MIGUEL","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE TREN MIXTO, PAR 319","info@iberacuastica.com","17","[979761213]","1999-05-17","2018-12-31","SOCIEDAD LIMITADA","34200 VENTA DE BAÑOS (Palencia)","INGENIERIA Y SERVICIOS EN ACUSTICA IBERACUSTICA SL","Desconocido","Activa","[979761243]","['www.iberacustica.com']","pequeña"
"B53458717","9629128.96","2017","3006","PEREZ PEREZ, MARIA DOLORES","4121 - Construcción de edificios residenciales","CALLE GABRIEL MIRO, 6 - LOCAL 7","info@construccionesadolfo.com","47","Desconocido","2000-04-27","2017-12-31","SOCIEDAD LIMITADA","03580 L'ALFAS DEL PI (Alicante)","ADOLFO PEREZ LOPEZ SL","Desconocido","Activa","[965889417]","['www.construccionesadolfo.com']","pequeña"
"B54081278","2070204.52","2018","52260","AZNAR TORMO, JOSE VICENTE","4121 - Construcción de edificios residenciales","AVENIDA PAIS VALENCIA, 80","info@oihurbana.es","32","[966896854]","2006-01-23","2018-12-31","SOCIEDAD LIMITADA","03520 POLOP (Alicante)","OBRAS E INFRAESTRUCTURAS HIDRAULICAS SL","Desconocido","Activa","Desconocido","['www.oihurbana.es']","pequeña"
"B54167754","20532316.75","2018","200005","MALLOL OLIVER, VICENTE JOSE","4121 - Construcción de edificios residenciales","AVENIDA PAIS VALENCIA, 22","admon@vapf.com","12","Desconocido","2006-10-03","2018-12-31","SOCIEDAD LIMITADA","03720 BENISSA (Alicante)","VAPF CONST SL","Desconocido","Activa","[965734017]","['www.vapf.com', 'www.vapf.es']","pequeña"
"B54639588","397858.38","2018","3100","ALARCON GALLEGO, CARLOS JAVIER","4121 - Construcción de edificios residenciales","CALLE ALVAREZ QUINTERO, 43 - ESC 2 2 1","Desconocido","6","Desconocido","2012-06-01","2018-12-31","SOCIEDAD LIMITADA","03690 S VICENTE RASPEIG/S VICENT RASPEIG (Alicante)","CARYMAR REFORMAS Y CONSTRUCCIONES SL.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B55677041","5926934","2018","3000","CARRASCO NARDI, MARIO","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE AGRICULTURA, 22 - LOC 6 BJ","Desconocido","6","Desconocido","2016-02-03","2018-12-31","SOCIEDAD LIMITADA","08320 EL MASNOU (Barcelona)","EFICIENCIA Y SOSTENIBILIDAD EN LA CONSTRUCCION SIGLO XXI SOCIEDAD LIMITADA.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B57386914","9070241","2018","3100","GONZALEZ DIEGO, JERONIMO","4121 - Construcción de edificios residenciales","CALLE SARIDAKIS, 6 - BJ","siurel@siurelloc.com","33","[971408611]","2005-12-15","2018-12-31","SOCIEDAD LIMITADA","07015 PALMA (Baleares)","SIUREL OBRA CIVIL SL","Desconocido","Activa","[971408635]","['www.siurelloc.com']","pequeña"
"B57414187","35406022.62","2018","2400000","FERRARI ALORDA, PEDRO JESUS","4673 - Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios","CALLE GREMI DE SABATERS, 45 - BJ","info@bongrup.es","146","[971431531]","2006-04-07","2018-12-31","SOCIEDAD LIMITADA","07009 PALMA (Baleares)","BONGRUP BALEARES SL","Desconocido","Activa","[971430411]","['www.bongrup.es']","mediana"
"B57660284","5313019.01","2017","3100","DIAZ MUNOZ, EMILIO","4121 - Construcción de edificios residenciales","CALLE CAN VALERO, 40 - NAV 4","administracion@diazgarobras.com","50","Desconocido","2010-04-08","2017-12-31","SOCIEDAD LIMITADA","07011 PALMA (Baleares)","DIAZGAR OBRAS SL","Desconocido","Activa","[971253792]","Desconocido","mediana"
"B57680431","5317786.31","2017","3500","GODOY GUISADO, MIREYA","4121 - Construcción de edificios residenciales","CALLE BARTOMEU VICENT RAMON, 14","Desconocido","65","Desconocido","2010-09-23","2017-12-31","SOCIEDAD LIMITADA","07800 EIVISSA (Baleares)","IBIGODOY SOCIEDAD LIMITADA","Desconocido","Activa","Desconocido","Desconocido","mediana"
"B57685174","5035154.94","2018","3006","TORRES MAZA, JOSEFA ESPIRACION","4121 - Construcción de edificios residenciales","CALLE JOSEP MIR I MIR, 2 - PISO 1 1","administracion@oetm.es","46","Desconocido","2010-11-02","2018-12-31","SOCIEDAD LIMITADA","07005 PALMA (Baleares)","OBRAS Y ESTRUCTURAS TORRES MAZA SL","Desconocido","Activa","[971102544]","['www.construcciones-baleares.com']","mediana"
"B57890659","38776.04","2018","4000000","GARCIA PANIAGUA, MARTA MARIA","4110 - Promoción inmobiliaria","CALLE SANT MIQUEL, 36 - 6º A","Desconocido","0","Desconocido","2014-12-16","2018-12-31","SOCIEDAD LIMITADA","07002 PALMA (Baleares)","CAN NADAL PALACE SL.","Desconocido","Activa","[965701987]","Desconocido","pequeña"
"B58607227","3135623.46","2018","30651.62","MARTINEZ TO, SANTIAGO","4321 - Instalaciones eléctricas","CALLE TOMAS VILADOMIU, 35","mail@bobitecnic.com","35","[938206300]","1988-01-01","2018-12-31","SOCIEDAD LIMITADA","08650 SALLENT (Barcelona)","BOBITECNIC SL","Desconocido","Activa","[938206120]","['www.bobitecnic.com']","pequeña"
"B60429206","2146254.84","2018","28848","GARMENDIA TORNE, MARIA JOSE","8121 - Limpieza general de edificios","CALLE PAU CLARIS, 177 - P. 2 PTA. 1","limpiezas@grupogarvi.com","84","[933198202]","1994-01-01","2018-12-31","SOCIEDAD LIMITADA","08037 BARCELONA (Barcelona)","COMPAÑIA GENERAL DE SERVICIOS GARVI SL","Desconocido","Activa","[932955822]","['www.garvilimpiezas.es']","mediana"
"B61307393","8231795.49","2018","351695","GALMAN BACHPOL, ANGEL","4321 - Instalaciones eléctricas","CALLE DE PARCERISA, 9","administracion@mercadomotika.com","30","[934320948]","1997-02-10","2018-12-31","SOCIEDAD LIMITADA","08014 BARCELONA (Barcelona)","MERCADOMOTIKA SL","Desconocido","Activa","[933312250]","['www.mercadomotika.com']","pequeña"
"B61585410","1915943.42","2018","4026","RECASENS MESTRE, MARGARIDA","7022 - Otras actividades de consultoría de gestión empresarial","CALLE GELABERT, 38 - BJ","strengths@strengths.es","26","[935317300]","1998-05-12","2018-12-31","SOCIEDAD LIMITADA","08029 BARCELONA (Barcelona)","BUSINESS STRENGTHS ENGINEERING SL","Desconocido","Activa","[934051139]","['www.strengths.es']","pequeña"
"B61888715","43584675","2017","92255","JONES LANG LASALLE HOLDING SAS","4339 - Otras actividades de acabado de edificios","PASEO CASTELLANA, 79 - PISO 4","informacion@eu.jll.com","39","[917891108]","1999-02-05","2017-12-31","SOCIEDAD LIMITADA","28046 MADRID (Madrid)","TETRIS ARQUITECTURA SL.","Desconocido","Activa","[917891100]","Desconocido","pequeña"
"B61906293","7788427","2018","165500","KIVNON GLOBAL SL","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE BUTANO, 8","dclane@dclane.net","40","Desconocido","1999-03-04","2018-12-31","SOCIEDAD LIMITADA","47012 VALLADOLID (Valladolid)","2000 DCLANE SL","Desconocido","Activa","[933034960]","['www.dclane.net']","pequeña"
"B62256763","6003177.58","2018","3010","RESTREPO GUERRERO, PERE","4121 - Construcción de edificios residenciales","CALLE MUNTANER, 353 - 1","agpgesin@telefonica.net","11","[932414398]","2000-04-06","2018-12-31","SOCIEDAD LIMITADA","08021 BARCELONA (Barcelona)","AGP DEL NORTE GESTION INTEGRAL SL","Desconocido","Activa","[932012561, 932015787]","['www.agpdelnorte.com']","pequeña"
"B62666755","9242695.59","2018","50484","HERNANDEZ CASTELLA, JORDI","4121 - Construcción de edificios residenciales","CALLE VIA LAIETANA, 33 - P. AT PTA. 2","info@pbsconstructora.es","9","Desconocido","2001-09-13","2018-12-31","SOCIEDAD LIMITADA","08003 BARCELONA (Barcelona)","PUEYO BADIA SERRANO CONSTRUCCIONS SL","Desconocido","Activa","[931121212]","['www.pbsconstructora.com']","pequeña"
"B63670830","9413297.58","2018","100000","DORR, CHRISTIAN","4669 - Comercio al por mayor de otra maquinaria y equipo","RAMBLA PAISOS CATALANS, 12","info-es@schmersal.com","25","[933969750]","2004-11-04","2018-12-31","SOCIEDAD LIMITADA","08800 VILANOVA I LA GELTRU (Barcelona)","SCHMERSAL IBERICA SL","Desconocido","Activa","[938970906]","['www.schmersal.es']","pequeña"
"B63871552","9898995.73","2016","300000","SANTOS LOPEZ, OSCAR","4121 - Construcción de edificios residenciales","CALLE IGNASI IGLESIAS, 19 - LOC 3 4","info@alsamasa.com","50","Desconocido","2005-06-03","2016-12-31","SOCIEDAD LIMITADA","08940 CORNELLA DE LLOBREGAT (Barcelona)","ALSAMASA CONSTRUCCIONES SL","Desconocido","Activa","[934800625, 931904857]","['www.alsamasa.com']","pequeña"
"B64227382","12097326","2018","3012","ROSENDE MORENO, BENJAMIN","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CAMINO ASTONDO, MODULO 15","info@rdtingenieros.com","177","[944545413]","2006-05-26","2018-12-31","SOCIEDAD LIMITADA","48160 DERIO (Bizkaia)","RDT INGENIEROS BILBAO SL","Desconocido","Activa","[944544159, 946470647, 944545228]","['www.rdtingenieros.com']","mediana"
"B64389257","1966919.63","2018","9000","CRUZ CABAS, JORGE","4399 - Otras actividades de construcción especializada n.c.o.p.","CALLE SANT SALVADOR, 17","verticalcross@verticalcross.es","28","Desconocido","2006-11-30","2018-12-31","SOCIEDAD LIMITADA","08950 ESPLUGUES DE LLOBREGAT (Barcelona)","VERTICAL CROSS SL","['VERTICAL CROSS']","Activa","[933718494]","['www.verticalcross.es']","pequeña"
